start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
90:01.57,90:01.60,5401.57,5401.60,0.03,-64.3,0.97,0.000,,gate chatter
90:01.72,90:01.73,5401.72,5401.73,0.01,-67.9,0.96,0.000,,gate chatter
90:01.84,90:02.13,5401.84,5402.13,0.29,-40.6,0.98,0.039,25,gate chatter
90:02.44,90:02.46,5402.44,5402.46,0.02,-66.2,1.00,0.000,,gate chatter
90:03.57,90:03.63,5403.57,5403.63,0.06,-59.9,0.97,0.000,,gate chatter
90:04.44,90:04.93,5404.44,5404.93,0.49,-38.7,0.68,0.027,460,gate chatter
90:33.03,90:33.54,5433.03,5433.54,0.51,-10.7,0.73,0.165,555,waveform matches reference (ncc 0.17)
91:29.45,91:29.53,5489.45,5489.53,0.08,-62.6,1.00,0.000,,gate chatter
91:29.81,91:29.85,5489.81,5489.85,0.04,-63.3,1.00,0.000,,gate chatter
91:30.34,91:30.69,5490.34,5490.69,0.35,-40.3,1.00,0.029,345,gate chatter
91:30.80,91:31.09,5490.80,5491.09,0.29,-46.8,1.00,0.042,38,gate chatter
91:31.40,91:31.41,5491.40,5491.41,0.01,-68.9,0.96,0.000,,gate chatter
91:31.78,91:32.38,5491.78,5492.38,0.60,-33.3,0.97,0.035,693,gate chatter
91:32.60,91:32.90,5492.60,5492.90,0.30,-35.6,0.95,0.103,333,gate chatter
91:33.04,91:33.17,5493.04,5493.17,0.13,-63.2,0.99,0.068,299,gate chatter
91:34.46,91:34.47,5494.46,5494.47,0.01,-68.9,0.73,0.000,,gate chatter
91:34.65,91:34.85,5494.65,5494.85,0.20,-51.7,1.00,0.044,88,gate chatter
91:35.53,91:36.03,5495.53,5496.03,0.50,-24.2,1.00,0.131,1,gate chatter
91:36.14,91:36.35,5496.14,5496.35,0.21,-50.4,0.96,0.033,485,gate chatter
91:37.47,91:37.57,5497.47,5497.57,0.10,-40.3,0.85,0.041,581,gate chatter
91:38.06,91:38.26,5498.06,5498.26,0.20,-46.2,1.00,0.110,145,gate chatter
91:38.50,91:38.60,5498.50,5498.60,0.10,-65.0,1.00,0.072,415,gate chatter
91:38.97,91:39.24,5498.97,5499.24,0.27,-51.4,0.94,0.050,66,gate chatter
91:39.89,91:40.03,5499.89,5500.03,0.14,-46.3,0.94,0.049,425,gate chatter
91:40.44,91:40.61,5500.44,5500.61,0.17,-47.7,0.90,0.036,467,gate chatter
91:40.74,91:40.82,5500.74,5500.82,0.08,-30.7,1.00,0.000,,gate chatter
91:41.43,91:41.51,5501.43,5501.51,0.08,-40.2,1.00,0.000,,gate chatter
91:41.66,91:41.78,5501.66,5501.78,0.12,-41.0,0.90,0.050,194,gate chatter
91:42.19,91:42.52,5502.19,5502.52,0.33,-29.5,0.93,0.196,502,gate chatter
91:43.63,91:43.89,5503.63,5503.89,0.26,-40.2,0.64,0.050,365,gate chatter
91:44.00,91:44.31,5504.00,5504.31,0.31,-47.1,0.97,0.081,424,gate chatter
91:44.60,91:44.69,5504.60,5504.69,0.09,-47.4,0.95,0.000,,gate chatter
91:44.88,91:44.90,5504.88,5504.90,0.02,-64.0,1.00,0.000,,gate chatter
91:45.45,91:45.50,5505.45,5505.50,0.05,-55.4,1.00,0.000,,gate chatter
91:45.73,91:45.77,5505.73,5505.77,0.04,-65.1,1.00,0.000,,gate chatter
92:49.73,92:49.75,5569.73,5569.75,0.02,-64.1,1.00,0.000,,gate chatter
92:49.93,92:49.94,5569.93,5569.94,0.01,-60.6,0.96,0.000,,gate chatter
92:50.06,92:50.45,5570.06,5570.45,0.39,-45.9,0.93,0.107,491,gate chatter
92:50.63,92:50.72,5570.63,5570.72,0.09,-42.7,0.89,0.000,,gate chatter
93:00.18,93:00.24,5580.18,5580.24,0.06,-63.7,0.93,0.000,,gate chatter
93:00.54,93:00.57,5580.54,5580.57,0.03,-58.8,0.93,0.000,,gate chatter
93:00.80,93:01.09,5580.80,5581.09,0.29,-44.4,0.79,0.051,681,gate chatter
93:01.21,93:01.43,5581.21,5581.43,0.22,-55.0,0.77,0.056,360,gate chatter
93:01.57,93:01.73,5581.57,5581.73,0.16,-62.8,0.86,0.085,111,gate chatter
93:01.85,93:02.03,5581.85,5582.03,0.18,-46.4,0.92,0.054,141,gate chatter
93:02.17,93:02.57,5582.17,5582.57,0.40,-41.3,0.84,0.044,119,gate chatter
93:02.99,93:03.23,5582.99,5583.23,0.24,-36.5,0.77,0.037,267,gate chatter
93:03.37,93:03.58,5583.37,5583.58,0.21,-37.1,0.97,0.063,464,gate chatter
93:03.86,93:03.96,5583.86,5583.96,0.10,-37.9,0.94,0.048,186,gate chatter
93:04.24,93:04.60,5584.24,5584.60,0.36,-33.4,0.88,0.066,425,gate chatter
93:04.87,93:05.11,5584.87,5585.11,0.24,-46.7,0.91,0.057,426,gate chatter
93:05.22,93:05.27,5585.22,5585.27,0.05,-48.5,1.00,0.000,,gate chatter
93:05.47,93:05.65,5585.47,5585.65,0.18,-45.1,1.00,0.047,42,gate chatter
93:05.78,93:05.92,5585.78,5585.92,0.14,-51.6,1.00,0.038,223,gate chatter
93:06.11,93:06.27,5586.11,5586.27,0.16,-46.1,0.96,0.034,128,gate chatter
93:06.78,93:06.97,5586.78,5586.97,0.19,-62.9,0.76,0.086,551,gate chatter
93:07.51,93:07.95,5587.51,5587.95,0.44,-42.0,0.91,0.043,459,gate chatter
93:08.50,94:07.02,5588.50,5647.02,58.52,-19.8,0.92,0.010,415,sustained low level under reference
94:12.23,94:12.41,5652.23,5652.41,0.18,-45.8,0.84,0.060,209,gate chatter
94:12.67,94:12.85,5652.67,5652.85,0.18,-42.5,0.59,0.029,547,gate chatter
94:13.47,94:13.89,5653.47,5653.89,0.42,-39.5,0.98,0.039,223,gate chatter
94:14.25,94:14.89,5654.25,5654.89,0.64,-34.9,1.00,0.091,557,"quiet, reference talking"
94:15.14,94:15.16,5655.14,5655.16,0.02,-69.2,0.98,0.000,,gate chatter
94:15.65,94:15.68,5655.65,5655.68,0.03,-61.5,0.88,0.000,,gate chatter
94:15.82,94:15.85,5655.82,5655.85,0.03,-59.7,0.95,0.000,,gate chatter
94:15.96,94:16.08,5655.96,5656.08,0.12,-41.0,0.96,0.061,558,gate chatter
94:16.22,94:16.26,5656.22,5656.26,0.04,-68.3,0.95,0.000,,gate chatter
94:16.37,94:16.43,5656.37,5656.43,0.06,-56.4,0.97,0.000,,gate chatter
94:17.31,94:17.65,5657.31,5657.65,0.34,-46.3,1.00,0.103,160,gate chatter
94:17.87,94:17.88,5657.87,5657.88,0.01,-65.2,0.95,0.000,,gate chatter
94:18.03,94:18.17,5658.03,5658.17,0.14,-48.4,0.88,0.055,186,gate chatter
94:18.40,94:18.41,5658.40,5658.41,0.01,-63.1,0.48,0.000,,gate chatter
94:18.59,94:18.64,5658.59,5658.64,0.05,-72.2,0.43,0.000,,gate chatter
94:18.80,94:19.01,5658.80,5659.01,0.21,-56.5,0.67,0.050,412,gate chatter
94:19.41,94:19.65,5659.41,5659.65,0.24,-37.1,0.86,0.040,643,gate chatter
94:19.84,94:19.92,5659.84,5659.92,0.08,-55.2,0.94,0.000,,gate chatter
94:20.14,94:20.21,5660.14,5660.21,0.07,-56.6,1.00,0.000,,gate chatter
94:20.38,94:20.43,5660.38,5660.43,0.05,-62.0,0.98,0.000,,gate chatter
94:20.71,94:20.90,5660.71,5660.90,0.19,-30.8,0.95,0.084,343,gate chatter
94:21.37,94:21.48,5661.37,5661.48,0.11,-37.8,1.00,0.030,121,gate chatter
94:22.16,94:22.29,5662.16,5662.29,0.13,-42.6,0.99,0.034,570,gate chatter
94:22.43,94:22.62,5662.43,5662.62,0.19,-55.9,0.99,0.051,329,gate chatter
94:22.94,94:23.05,5662.94,5663.05,0.11,-40.3,1.00,0.030,442,gate chatter
94:23.16,94:23.28,5663.16,5663.28,0.12,-26.1,1.00,0.007,671,gate chatter
94:24.30,94:24.42,5664.30,5664.42,0.12,-42.7,0.85,0.040,624,gate chatter
94:24.76,94:25.02,5664.76,5665.02,0.26,-50.3,0.99,0.077,0,gate chatter
94:25.15,94:25.34,5665.15,5665.34,0.19,-64.0,0.99,0.079,118,gate chatter
94:25.50,94:25.71,5665.50,5665.71,0.21,-42.9,0.93,0.045,50,gate chatter
94:26.47,94:27.11,5666.47,5667.11,0.64,-33.9,0.97,0.131,595,"quiet, reference talking"
94:27.28,94:27.40,5667.28,5667.40,0.12,-58.1,0.97,0.033,246,gate chatter
94:27.63,94:27.79,5667.63,5667.79,0.16,-51.7,0.89,0.036,268,gate chatter
94:28.70,94:28.83,5668.70,5668.83,0.13,-68.9,1.00,0.056,54,gate chatter
94:29.62,94:29.63,5669.62,5669.63,0.01,-84.0,0.93,0.000,,gate chatter
95:14.27,95:14.38,5714.27,5714.38,0.11,-37.8,0.94,0.129,355,gate chatter
95:14.49,95:14.83,5714.49,5714.83,0.34,-44.4,0.91,0.149,610,gate chatter
95:15.67,95:16.09,5715.67,5716.09,0.42,-33.4,0.99,0.070,37,gate chatter
95:22.95,95:23.55,5722.95,5723.55,0.60,-41.0,0.94,0.107,33,gate chatter
95:23.80,95:23.88,5723.80,5723.88,0.08,-54.6,0.79,0.000,,gate chatter
95:24.51,95:24.77,5724.51,5724.77,0.26,-43.2,0.75,0.051,424,gate chatter
95:25.08,95:25.13,5725.08,5725.13,0.05,-68.9,1.00,0.000,,gate chatter
95:25.25,95:26.52,5725.25,5726.52,1.27,-38.2,0.99,0.044,163,sustained low level under reference
95:26.86,95:26.88,5726.86,5726.88,0.02,-70.1,1.00,0.000,,gate chatter
95:27.04,95:27.57,5727.04,5727.57,0.53,-37.3,0.98,0.077,434,gate chatter
95:28.28,95:29.16,5728.28,5729.16,0.88,-26.3,0.87,0.093,278,"quiet, reference talking"
95:29.63,95:29.71,5729.63,5729.71,0.08,-48.6,0.86,0.000,,gate chatter
95:29.85,95:30.13,5729.85,5730.13,0.28,-43.3,0.59,0.107,670,gate chatter
95:30.91,95:31.01,5730.91,5731.01,0.10,-64.4,0.98,0.116,452,gate chatter
95:31.12,95:31.42,5731.12,5731.42,0.30,-54.1,1.00,0.217,196,gate chatter
95:31.54,95:31.84,5731.54,5731.84,0.30,-45.2,0.87,0.071,475,gate chatter
95:31.95,95:31.97,5731.95,5731.97,0.02,-67.4,0.79,0.000,,gate chatter
95:32.28,95:32.75,5732.28,5732.75,0.47,-32.8,0.90,0.074,337,gate chatter
95:33.15,95:33.27,5733.15,5733.27,0.12,-41.8,0.93,0.040,503,gate chatter
95:34.19,95:34.89,5734.19,5734.89,0.70,-29.0,0.90,0.098,647,"quiet, reference talking"
95:35.06,95:35.18,5735.06,5735.18,0.12,-62.5,0.79,0.054,233,gate chatter
95:35.41,95:36.16,5735.41,5736.16,0.75,-26.1,0.70,0.124,655,"quiet, reference talking"
95:36.31,95:36.41,5736.31,5736.41,0.10,-37.9,1.00,0.040,447,gate chatter
95:36.60,95:36.61,5736.60,5736.61,0.01,-81.2,1.00,0.000,,gate chatter
95:36.72,95:36.77,5736.72,5736.77,0.05,-67.6,0.73,0.000,,gate chatter
95:37.45,95:37.49,5737.45,5737.49,0.04,-56.9,0.71,0.000,,gate chatter
95:37.80,95:37.92,5737.80,5737.92,0.12,-38.3,0.94,0.066,502,gate chatter
95:38.19,95:38.27,5738.19,5738.27,0.08,-69.9,1.00,0.000,,gate chatter
95:38.50,95:38.59,5738.50,5738.59,0.09,-32.5,1.00,0.000,,gate chatter
96:00.37,96:01.71,5760.37,5761.71,1.34,-34.9,0.88,0.059,321,sustained low level under reference
96:02.26,96:03.23,5762.26,5763.23,0.97,-43.0,0.98,0.102,100,"quiet, reference talking"
98:47.98,98:48.03,5927.98,5928.03,0.05,-62.1,1.00,0.000,,gate chatter
98:48.49,98:48.61,5928.49,5928.61,0.12,-46.3,0.90,0.059,60,gate chatter
98:49.33,98:49.40,5929.33,5929.40,0.07,-53.3,1.00,0.000,,gate chatter
98:49.58,98:49.72,5929.58,5929.72,0.14,-43.1,0.99,0.034,127,gate chatter
98:49.85,98:49.89,5929.85,5929.89,0.04,-62.4,0.98,0.000,,gate chatter
98:55.77,98:56.28,5935.77,5936.28,0.51,-30.3,0.92,0.047,433,gate chatter
98:56.39,98:56.47,5936.39,5936.47,0.08,-68.0,1.00,0.000,,gate chatter
98:56.74,98:56.82,5936.74,5936.82,0.08,-49.6,1.00,0.000,,gate chatter
98:57.26,98:57.37,5937.26,5937.37,0.11,-42.6,0.98,0.028,178,gate chatter
98:57.64,98:58.07,5937.64,5938.07,0.43,-42.8,0.99,0.030,246,gate chatter
98:58.29,98:58.33,5938.29,5938.33,0.04,-63.5,1.00,0.000,,gate chatter
98:58.46,98:58.51,5938.46,5938.51,0.05,-61.1,1.00,0.000,,gate chatter
98:58.65,98:58.66,5938.65,5938.66,0.01,-61.9,0.98,0.000,,gate chatter
98:58.90,98:59.14,5938.90,5939.14,0.24,-74.4,0.99,0.103,405,gate chatter
99:14.55,99:15.41,5954.55,5955.41,0.86,-16.4,0.93,0.113,687,sustained low level under reference
99:15.52,99:15.99,5955.52,5955.99,0.47,-28.4,0.78,0.012,154,gate chatter
99:16.97,99:17.04,5956.97,5957.04,0.07,-41.9,1.00,0.000,,gate chatter
99:20.51,99:20.66,5960.51,5960.66,0.15,-34.7,1.00,0.144,24,gate chatter
99:21.00,99:21.03,5961.00,5961.03,0.03,-62.8,1.00,0.000,,gate chatter
99:21.48,99:21.57,5961.48,5961.57,0.09,-30.5,0.95,0.000,,gate chatter
99:21.73,99:21.82,5961.73,5961.82,0.09,-44.4,0.95,0.000,,gate chatter
99:23.20,99:23.29,5963.20,5963.29,0.09,-36.5,1.00,0.000,,gate chatter
99:23.47,99:23.53,5963.47,5963.53,0.06,-63.7,1.00,0.000,,gate chatter
99:24.17,99:25.38,5964.17,5965.38,1.21,-31.8,0.99,0.144,188,sustained low level under reference
99:25.55,99:26.53,5965.55,5966.53,0.98,-33.8,0.97,0.075,209,"quiet, reference talking"
99:27.44,99:27.48,5967.44,5967.48,0.04,-57.9,0.92,0.000,,gate chatter
99:27.78,99:27.83,5967.78,5967.83,0.05,-46.0,0.85,0.000,,gate chatter
99:28.38,99:28.45,5968.38,5968.45,0.07,-59.8,1.00,0.000,,gate chatter
99:28.71,99:29.01,5968.71,5969.01,0.30,-28.7,0.91,0.018,655,gate chatter
99:36.51,99:36.68,5976.51,5976.68,0.17,-38.8,1.00,0.060,631,gate chatter
99:36.81,99:37.47,5976.81,5977.47,0.66,-35.1,0.98,0.097,394,"quiet, reference talking"
99:37.94,99:38.13,5977.94,5978.13,0.19,-54.2,0.97,0.110,283,gate chatter
99:39.19,99:39.28,5979.19,5979.28,0.09,-35.2,0.84,0.000,,gate chatter
99:39.43,99:39.48,5979.43,5979.48,0.05,-63.6,0.77,0.000,,gate chatter
99:41.45,99:41.54,5981.45,5981.54,0.09,-49.2,1.00,0.000,,gate chatter
99:41.68,99:41.75,5981.68,5981.75,0.07,-47.8,0.97,0.000,,gate chatter
99:42.40,99:42.49,5982.40,5982.49,0.09,-36.2,1.00,0.000,,gate chatter
99:42.70,99:42.84,5982.70,5982.84,0.14,-29.7,1.00,0.036,404,gate chatter
99:43.14,99:43.15,5983.14,5983.15,0.01,-77.2,1.00,0.000,,gate chatter
99:44.06,99:44.17,5984.06,5984.17,0.11,-36.0,0.83,0.048,70,gate chatter
99:45.26,99:45.66,5985.26,5985.66,0.40,-34.2,0.95,0.031,37,gate chatter
99:56.44,99:56.52,5996.44,5996.52,0.08,-46.5,0.94,0.000,,gate chatter
99:56.74,99:56.79,5996.74,5996.79,0.05,-58.8,1.00,0.000,,gate chatter
99:56.98,99:57.07,5996.98,5997.07,0.09,-50.3,1.00,0.000,,gate chatter
99:57.54,99:57.84,5997.54,5997.84,0.30,-34.6,1.00,0.058,309,gate chatter
99:58.47,99:58.73,5998.47,5998.73,0.26,-36.2,0.99,0.025,209,gate chatter
99:58.92,99:58.95,5998.92,5998.95,0.03,-62.0,1.00,0.000,,gate chatter
99:59.10,99:59.91,5999.10,5999.91,0.81,-18.9,0.99,0.070,304,next to bleed cluster
100:00.09,100:00.15,6000.09,6000.15,0.06,-60.9,1.00,0.000,,gate chatter
100:00.26,100:00.85,6000.26,6000.85,0.59,-32.5,0.53,0.049,8,gate chatter
100:01.10,100:01.12,6001.10,6001.12,0.02,-66.7,0.65,0.000,,gate chatter
100:01.81,100:02.19,6001.81,6002.19,0.38,-38.8,1.00,0.019,7,gate chatter
100:07.14,100:07.48,6007.14,6007.48,0.34,-50.1,0.98,0.026,120,gate chatter
100:07.73,100:07.78,6007.73,6007.78,0.05,-65.4,0.95,0.000,,gate chatter
100:07.89,100:07.97,6007.89,6007.97,0.08,-57.8,0.95,0.000,,gate chatter
100:08.11,100:08.99,6008.11,6008.99,0.88,-41.9,0.96,0.021,467,"quiet, reference talking"
100:09.12,100:09.84,6009.12,6009.84,0.72,-43.6,0.91,0.017,426,"quiet, reference talking"
100:09.95,100:10.01,6009.95,6010.01,0.06,-60.8,0.72,0.000,,gate chatter
100:12.06,100:12.13,6012.06,6012.13,0.07,-50.4,0.66,0.000,,gate chatter
100:12.29,100:12.46,6012.29,6012.46,0.17,-48.5,0.99,0.041,14,gate chatter
100:12.88,100:13.07,6012.88,6013.07,0.19,-51.1,1.00,0.051,23,gate chatter
100:13.19,100:13.71,6013.19,6013.71,0.52,-34.8,0.98,0.017,87,gate chatter
100:13.84,100:15.27,6013.84,6015.27,1.43,-33.9,0.93,0.057,355,sustained low level under reference
100:15.38,100:15.45,6015.38,6015.45,0.07,-56.9,0.82,0.000,,gate chatter
100:35.60,100:35.65,6035.60,6035.65,0.05,-77.9,1.00,0.000,,gate chatter
100:35.79,100:36.10,6035.79,6036.10,0.31,-36.4,0.85,0.024,346,gate chatter
100:36.22,100:36.30,6036.22,6036.30,0.08,-51.6,0.79,0.000,,gate chatter
100:37.63,100:38.05,6037.63,6038.05,0.42,-43.4,0.90,0.068,532,gate chatter
100:38.19,100:38.24,6038.19,6038.24,0.05,-65.8,0.93,0.000,,gate chatter
100:38.39,100:38.60,6038.39,6038.60,0.21,-51.8,0.92,0.034,482,gate chatter
100:38.90,100:39.10,6038.90,6039.10,0.20,-47.9,0.81,0.037,3,gate chatter
100:39.24,100:39.57,6039.24,6039.57,0.33,-29.8,0.86,0.043,343,gate chatter
100:39.69,100:39.74,6039.69,6039.74,0.05,-71.0,1.00,0.000,,gate chatter
100:39.85,100:39.97,6039.85,6039.97,0.12,-47.8,0.97,0.069,226,gate chatter
100:40.13,100:41.03,6040.13,6041.03,0.90,-37.0,0.90,0.012,161,"quiet, reference talking"
100:41.16,100:41.65,6041.16,6041.65,0.49,-49.8,0.83,0.037,199,gate chatter
100:41.81,100:41.87,6041.81,6041.87,0.06,-71.7,1.00,0.000,,gate chatter
100:42.07,100:42.90,6042.07,6042.90,0.83,-29.5,0.96,0.010,284,"quiet, reference talking"
100:43.05,100:43.06,6043.05,6043.06,0.01,-79.6,0.89,0.000,,gate chatter
103:07.66,103:07.90,6187.66,6187.90,0.24,-51.5,0.99,0.050,281,gate chatter
103:08.47,103:08.50,6188.47,6188.50,0.03,-66.4,1.00,0.000,,gate chatter
103:08.91,103:09.29,6188.91,6189.29,0.38,-44.8,0.95,0.094,279,gate chatter
103:09.48,103:09.65,6189.48,6189.65,0.17,-39.8,1.00,0.096,373,gate chatter
103:09.84,103:10.59,6189.84,6190.59,0.75,-38.5,0.97,0.022,176,"quiet, reference talking"
103:10.82,103:11.68,6190.82,6191.68,0.86,-40.9,0.99,0.015,590,"quiet, reference talking"
103:11.91,103:12.20,6191.91,6192.20,0.29,-50.0,0.69,0.022,134,gate chatter
103:18.83,103:18.84,6198.83,6198.84,0.01,-75.8,1.00,0.000,,gate chatter
103:18.99,103:19.05,6198.99,6199.05,0.06,-44.3,1.00,0.000,,gate chatter
103:19.19,103:19.30,6199.19,6199.30,0.11,-43.6,0.98,0.059,695,gate chatter
103:19.56,103:19.90,6199.56,6199.90,0.34,-51.5,0.99,0.050,407,gate chatter
103:20.05,103:20.17,6200.05,6200.17,0.12,-54.1,0.97,0.087,626,gate chatter
103:20.68,103:20.78,6200.68,6200.78,0.10,-46.8,1.00,0.031,3,gate chatter
103:21.91,103:22.03,6201.91,6202.03,0.12,-30.7,1.00,0.069,275,gate chatter
103:22.17,103:22.42,6202.17,6202.42,0.25,-40.8,1.00,0.127,650,gate chatter
103:22.58,103:22.62,6202.58,6202.62,0.04,-63.0,0.88,0.000,,gate chatter
103:23.32,103:23.44,6203.32,6203.44,0.12,-34.5,0.70,0.190,344,gate chatter
103:23.66,103:23.89,6203.66,6203.89,0.23,-28.9,0.87,0.020,118,gate chatter
105:10.69,105:11.00,6310.69,6311.00,0.31,-10.9,0.98,0.084,247,next to bleed cluster
105:11.15,105:11.43,6311.15,6311.43,0.28,-9.8,0.75,0.206,434,waveform matches reference (ncc 0.21)
105:24.75,105:24.82,6324.75,6324.82,0.07,-46.5,0.45,0.000,,gate chatter
105:47.95,105:48.22,6347.95,6348.22,0.27,-12.9,0.94,0.122,325,next to bleed cluster
105:49.22,105:49.38,6349.22,6349.38,0.16,-22.5,0.85,0.049,207,gate chatter
106:35.38,106:35.70,6395.38,6395.70,0.32,-44.6,1.00,0.025,89,gate chatter
106:36.10,106:36.37,6396.10,6396.37,0.27,-37.2,0.96,0.123,528,gate chatter
106:36.64,106:36.67,6396.64,6396.67,0.03,-69.2,0.86,0.000,,gate chatter
106:37.17,106:37.33,6397.17,6397.33,0.16,-35.9,0.96,0.022,238,gate chatter
106:38.38,106:38.77,6398.38,6398.77,0.39,-41.5,0.99,0.024,14,gate chatter
106:38.90,106:39.06,6398.90,6399.06,0.16,-49.8,0.99,0.073,465,gate chatter
106:39.32,106:39.50,6399.32,6399.50,0.18,-52.9,1.00,0.094,451,gate chatter
106:39.69,106:39.71,6399.69,6399.71,0.02,-78.5,0.95,0.000,,gate chatter
106:39.94,106:40.16,6399.94,6400.16,0.22,-41.4,0.88,0.065,516,gate chatter
106:40.27,106:40.33,6400.27,6400.33,0.06,-40.3,0.90,0.000,,gate chatter
106:40.51,106:40.58,6400.51,6400.58,0.07,-56.7,1.00,0.000,,gate chatter
106:40.75,106:40.86,6400.75,6400.86,0.11,-50.4,1.00,0.030,562,gate chatter
106:41.40,106:41.47,6401.40,6401.47,0.07,-57.9,1.00,0.000,,gate chatter
106:41.91,106:42.24,6401.91,6402.24,0.33,-38.5,1.00,0.140,390,gate chatter
106:42.36,106:42.62,6402.36,6402.62,0.26,-45.7,0.96,0.019,11,gate chatter
106:43.01,106:43.22,6403.01,6403.22,0.21,-48.9,0.67,0.065,688,gate chatter
106:43.38,106:43.46,6403.38,6403.46,0.08,-53.0,0.68,0.000,,gate chatter
106:43.59,106:43.67,6403.59,6403.67,0.08,-60.7,1.00,0.000,,gate chatter
106:45.55,106:45.56,6405.55,6405.56,0.01,-64.9,0.93,0.000,,gate chatter
106:45.71,106:45.73,6405.71,6405.73,0.02,-59.5,0.96,0.000,,gate chatter
108:53.15,108:53.76,6533.15,6533.76,0.61,-13.3,1.00,0.037,651,next to bleed cluster
108:54.34,108:54.37,6534.34,6534.37,0.03,-73.7,0.86,0.000,,gate chatter
108:54.55,108:54.61,6534.55,6534.61,0.06,-72.5,0.87,0.000,,gate chatter
108:58.18,108:58.47,6538.18,6538.47,0.29,-40.0,1.00,0.051,56,gate chatter
111:45.52,111:45.96,6705.52,6705.96,0.44,-27.7,0.97,0.056,451,gate chatter
111:46.54,111:46.80,6706.54,6706.80,0.26,-16.4,0.96,0.081,643,next to bleed cluster
112:01.82,112:02.09,6721.82,6722.09,0.27,-22.3,0.98,0.191,323,gate chatter
113:18.41,113:18.47,6798.41,6798.47,0.06,-60.6,0.92,0.000,,gate chatter
113:18.68,113:18.77,6798.68,6798.77,0.09,-45.5,0.97,0.000,,gate chatter
113:19.13,113:19.25,6799.13,6799.25,0.12,-69.2,0.96,0.047,685,gate chatter
113:19.54,113:19.77,6799.54,6799.77,0.23,-58.2,0.95,0.051,526,gate chatter
113:20.00,113:20.40,6800.00,6800.40,0.40,-46.2,0.99,0.059,625,gate chatter
113:20.75,113:21.42,6800.75,6801.42,0.67,-25.6,0.98,0.087,217,"quiet, reference talking"
113:36.63,113:36.66,6816.63,6816.66,0.03,-65.4,0.98,0.000,,gate chatter
113:36.77,113:36.78,6816.77,6816.78,0.01,-69.1,0.98,0.000,,gate chatter
113:37.23,113:37.26,6817.23,6817.26,0.03,-57.8,1.00,0.000,,gate chatter
113:37.82,113:37.91,6817.82,6817.91,0.09,-50.1,1.00,0.000,,gate chatter
113:38.84,113:39.55,6818.84,6819.55,0.71,-29.1,1.00,0.030,596,"quiet, reference talking"
113:39.69,113:39.76,6819.69,6819.76,0.07,-48.5,1.00,0.000,,gate chatter
113:40.36,113:40.45,6820.36,6820.45,0.09,-47.7,0.92,0.000,,gate chatter
113:40.64,113:40.76,6820.64,6820.76,0.12,-45.4,0.91,0.060,43,gate chatter
113:40.94,113:41.04,6820.94,6821.04,0.10,-45.5,0.91,0.037,190,gate chatter
113:41.31,113:41.35,6821.31,6821.35,0.04,-49.1,1.00,0.000,,gate chatter
113:41.61,113:42.18,6821.61,6822.18,0.57,-23.5,0.97,0.050,247,gate chatter
113:42.29,113:42.51,6822.29,6822.51,0.22,-63.7,0.91,0.075,389,gate chatter
113:42.63,113:42.66,6822.63,6822.66,0.03,-64.6,0.91,0.000,,gate chatter
113:42.82,113:42.84,6822.82,6822.84,0.02,-63.0,0.77,0.000,,gate chatter
113:43.04,113:43.05,6823.04,6823.05,0.01,-62.8,0.70,0.000,,gate chatter
113:43.16,113:43.38,6823.16,6823.38,0.22,-63.5,0.78,0.116,536,gate chatter
113:43.50,113:43.52,6823.50,6823.52,0.02,-66.5,0.84,0.000,,gate chatter
113:43.63,113:43.81,6823.63,6823.81,0.18,-67.8,0.99,0.087,98,gate chatter
113:44.02,113:44.05,6824.02,6824.05,0.03,-62.7,1.00,0.000,,gate chatter
113:44.45,113:44.46,6824.45,6824.46,0.01,-74.3,1.00,0.000,,gate chatter
113:44.63,113:44.70,6824.63,6824.70,0.07,-65.1,1.00,0.000,,gate chatter
113:44.85,113:44.89,6824.85,6824.89,0.04,-64.0,1.00,0.000,,gate chatter
113:45.10,113:45.21,6825.10,6825.21,0.11,-63.0,1.00,0.103,92,gate chatter
113:45.36,113:45.59,6825.36,6825.59,0.23,-64.9,1.00,0.071,561,gate chatter
113:45.81,113:45.88,6825.81,6825.88,0.07,-81.5,1.00,0.000,,gate chatter
113:46.01,113:46.50,6826.01,6826.50,0.49,-9.6,0.71,0.106,169,next to bleed cluster
113:46.63,113:47.08,6826.63,6827.08,0.45,-10.6,0.12,0.000,,next to bleed cluster
114:26.17,114:26.32,6866.17,6866.32,0.15,-57.2,1.00,0.054,699,gate chatter
114:31.25,114:31.32,6871.25,6871.32,0.07,-69.9,1.00,0.000,,gate chatter
114:31.78,114:31.84,6871.78,6871.84,0.06,-78.5,1.00,0.000,,gate chatter
114:32.22,114:32.31,6872.22,6872.31,0.09,-76.0,1.00,0.000,,gate chatter
114:32.42,114:32.45,6872.42,6872.45,0.03,-77.8,1.00,0.000,,gate chatter
114:32.89,114:33.02,6872.89,6873.02,0.13,-75.9,0.96,0.046,9,gate chatter
114:34.35,114:34.49,6874.35,6874.49,0.14,-64.1,1.00,0.026,656,gate chatter
114:34.79,114:34.87,6874.79,6874.87,0.08,-67.5,1.00,0.000,,gate chatter
114:34.98,114:35.09,6874.98,6875.09,0.11,-76.8,1.00,0.062,657,gate chatter
114:35.20,114:35.36,6875.20,6875.36,0.16,-68.4,1.00,0.095,521,gate chatter
