start,end,start_s,end_s,dur_s,peak_dbfs,ref_active,ncc,lag_ms,reason
31:47.20,31:47.26,1907.20,1907.26,0.06,-73.1,1.00,0.000,,gate chatter
32:19.20,32:19.27,1939.20,1939.27,0.07,-39.8,0.00,0.000,,next to bleed cluster
32:19.43,32:19.50,1939.43,1939.50,0.07,-22.6,0.15,0.000,,next to bleed cluster
32:20.03,32:20.28,1940.03,1940.28,0.25,-14.1,0.89,0.403,407,waveform matches reference (ncc 0.40)
32:21.67,32:21.80,1941.67,1941.80,0.13,-43.4,0.94,0.052,659,gate chatter
32:22.10,32:22.22,1942.10,1942.22,0.12,-42.8,1.00,0.053,189,gate chatter
32:22.58,32:22.68,1942.58,1942.68,0.10,-46.3,1.00,0.054,691,gate chatter
32:56.22,32:56.25,1976.22,1976.25,0.03,-71.9,0.88,0.000,,gate chatter
32:56.50,32:56.68,1976.50,1976.68,0.18,-61.7,0.63,0.093,201,gate chatter
32:57.42,32:57.58,1977.42,1977.58,0.16,-74.5,0.79,0.097,361,gate chatter
32:57.97,32:58.14,1977.97,1978.14,0.17,-62.8,0.93,0.053,90,gate chatter
32:58.65,32:58.84,1978.65,1978.84,0.19,-55.3,0.91,0.024,538,gate chatter
32:59.24,32:59.31,1979.24,1979.31,0.07,-76.0,0.95,0.000,,gate chatter
36:02.18,36:02.28,2162.18,2162.28,0.10,-66.1,1.00,0.058,569,gate chatter
36:15.82,36:16.01,2175.82,2176.01,0.19,-70.6,0.00,0.000,,next to bleed cluster
36:16.13,36:16.40,2176.13,2176.40,0.27,-35.2,0.00,0.000,,next to bleed cluster
36:16.91,36:17.60,2176.91,2177.60,0.69,-42.3,0.60,0.045,647,"quiet, reference talking"
36:18.34,36:18.67,2178.34,2178.67,0.33,-44.4,0.94,0.042,690,gate chatter
36:18.81,36:19.25,2178.81,2179.25,0.44,-53.8,0.87,0.066,342,gate chatter
36:19.41,36:19.42,2179.41,2179.42,0.01,-69.0,0.79,0.000,,gate chatter
36:19.58,36:19.64,2179.58,2179.64,0.06,-66.9,0.85,0.000,,gate chatter
36:19.84,36:20.03,2179.84,2180.03,0.19,-43.7,0.97,0.033,699,gate chatter
36:20.82,36:21.02,2180.82,2181.02,0.20,-40.3,0.95,0.039,78,gate chatter
36:21.14,36:21.35,2181.14,2181.35,0.21,-49.5,0.97,0.050,392,gate chatter
36:21.97,36:22.20,2181.97,2182.20,0.23,-44.3,0.99,0.054,474,gate chatter
36:22.35,36:22.36,2182.35,2182.36,0.01,-69.9,1.00,0.000,,gate chatter
36:22.55,36:22.62,2182.55,2182.62,0.07,-43.5,1.00,0.000,,gate chatter
36:23.05,36:23.16,2183.05,2183.16,0.11,-39.0,1.00,0.034,406,gate chatter
36:23.58,36:24.33,2183.58,2184.33,0.75,-32.4,0.90,0.017,153,"quiet, reference talking"
36:24.49,36:24.90,2184.49,2184.90,0.41,-38.2,0.69,0.042,338,gate chatter
36:25.13,36:25.20,2185.13,2185.20,0.07,-53.7,0.76,0.000,,gate chatter
36:25.37,36:25.47,2185.37,2185.47,0.10,-28.8,1.00,0.019,654,gate chatter
36:25.88,36:25.91,2185.88,2185.91,0.03,-57.8,1.00,0.000,,gate chatter
36:26.28,36:26.29,2186.28,2186.29,0.01,-64.4,1.00,0.000,,gate chatter
36:26.77,36:26.95,2186.77,2186.95,0.18,-31.0,1.00,0.032,301,gate chatter
36:27.22,36:27.34,2187.22,2187.34,0.12,-60.6,1.00,0.121,509,gate chatter
36:27.47,36:27.63,2187.47,2187.63,0.16,-60.0,1.00,0.084,249,gate chatter
36:27.89,36:28.39,2187.89,2188.39,0.50,-60.0,1.00,0.074,531,gate chatter
36:28.57,36:28.63,2188.57,2188.63,0.06,-64.7,1.00,0.000,,gate chatter
37:36.55,37:36.69,2256.55,2256.69,0.14,-61.1,1.00,0.036,200,gate chatter
37:38.64,37:38.76,2258.64,2258.76,0.12,-49.9,1.00,0.063,500,gate chatter
37:38.95,37:39.06,2258.95,2259.06,0.11,-48.5,1.00,0.048,306,gate chatter
37:39.36,37:39.71,2259.36,2259.71,0.35,-31.3,1.00,0.031,291,gate chatter
37:40.06,37:40.46,2260.06,2260.46,0.40,-44.7,0.89,0.055,457,gate chatter
37:40.61,37:40.68,2260.61,2260.68,0.07,-53.1,0.63,0.000,,gate chatter
37:40.92,37:41.01,2260.92,2261.01,0.09,-51.1,0.39,0.000,,next to bleed cluster
37:41.15,37:41.18,2261.15,2261.18,0.03,-65.7,0.48,0.000,,gate chatter
37:41.29,37:41.75,2261.29,2261.75,0.46,-41.3,0.84,0.014,127,gate chatter
37:42.54,37:43.09,2262.54,2263.09,0.55,-38.4,1.00,0.035,241,gate chatter
37:43.74,37:43.87,2263.74,2263.87,0.13,-45.6,1.00,0.058,74,gate chatter
37:44.05,37:44.79,2264.05,2264.79,0.74,-32.0,1.00,0.031,460,"quiet, reference talking"
37:44.97,37:45.24,2264.97,2265.24,0.27,-45.0,0.93,0.058,77,gate chatter
37:46.04,37:46.67,2266.04,2266.67,0.63,-42.4,0.97,0.024,640,"quiet, reference talking"
37:46.78,37:47.24,2266.78,2267.24,0.46,-40.8,0.81,0.023,124,gate chatter
37:47.93,37:47.94,2267.93,2267.94,0.01,-59.8,1.00,0.000,,gate chatter
37:48.06,37:48.20,2268.06,2268.20,0.14,-53.2,0.99,0.051,340,gate chatter
37:48.42,37:48.60,2268.42,2268.60,0.18,-35.3,0.95,0.024,38,gate chatter
37:48.78,37:48.87,2268.78,2268.87,0.09,-50.6,0.92,0.000,,gate chatter
37:49.12,37:49.15,2269.12,2269.15,0.03,-60.1,0.91,0.000,,gate chatter
37:49.30,37:49.70,2269.30,2269.70,0.40,-32.6,1.00,0.051,491,gate chatter
37:50.14,37:50.41,2270.14,2270.41,0.27,-36.2,0.96,0.024,245,gate chatter
38:59.63,38:59.70,2339.63,2339.70,0.07,-77.4,0.42,0.000,,gate chatter
38:59.94,39:00.09,2339.94,2340.09,0.15,-69.8,0.53,0.052,364,gate chatter
39:01.36,39:01.45,2341.36,2341.45,0.09,-62.2,0.92,0.000,,gate chatter
39:01.72,39:01.76,2341.72,2341.76,0.04,-74.0,0.90,0.000,,gate chatter
39:02.07,39:02.14,2342.07,2342.14,0.07,-70.8,0.98,0.000,,gate chatter
39:02.30,39:02.43,2342.30,2342.43,0.13,-72.8,1.00,0.053,333,gate chatter
39:02.57,39:02.90,2342.57,2342.90,0.33,-65.0,1.00,0.025,679,gate chatter
39:04.01,39:04.02,2344.01,2344.02,0.01,-83.8,1.00,0.000,,gate chatter
39:04.22,39:05.14,2344.22,2345.14,0.92,-63.3,0.97,0.022,451,"quiet, reference talking"
40:57.92,40:58.19,2457.92,2458.19,0.27,-40.7,0.00,0.000,,next to bleed cluster
40:58.36,40:58.46,2458.36,2458.46,0.10,-54.9,0.00,0.000,,next to bleed cluster
40:59.00,40:59.22,2459.00,2459.22,0.22,-37.3,0.57,0.144,494,gate chatter
40:59.35,40:59.59,2459.35,2459.59,0.24,-50.8,1.00,0.033,411,gate chatter
41:01.08,41:01.09,2461.08,2461.09,0.01,-64.5,1.00,0.000,,gate chatter
41:01.21,41:01.42,2461.21,2461.42,0.21,-48.2,1.00,0.038,374,gate chatter
